REC.PLANT DESC,SUPP.PLANT,SUPP.PLANT DESC,DISPATCH DATE,EXPT.DELIVERY,DELIVERY,PRODUCT CODE,PRODUCT NAME,QTY,VEHICLE.NO,TRANS.NAME,Gate Entry Number,Gate Entry Date,MFG LOCATION,Storage Location,Remarkes
"S N Gupta & Co, Prayagraj",C015,"Tirupati Bakers, Prayagraj",4/12/2021,5/12/2021,23567591,1005037,BG452 Parle-G 21g X 360p,481.000,UP42T3459,VAISHALI LOGISTICS,0000320974,6/12/2021,C015,,
"S N Gupta & Co, Prayagraj",C015,"Tirupati Bakers, Prayagraj",4/12/2021,5/12/2021,23567591,1005037,BG452 Parle-G 21g X 360p,719.000,UP42T3459,VAISHALI LOGISTICS,0000320974,6/12/2021,C015,,Recived
,,,,,,,,"1,200.000",UP42T3459,,,,,,
"S N Gupta & Co, Prayagraj",C017,"Shreenathjee Bakers, Varanasi",4/12/2021,5/12/2021,23567257,1002467,BF378 20-20 Cashew 150+50g X 50p,25.000,UP70BT2907,RAGHAV CARRIERS,0000320987,6/12/2021,C017,FG01,Recived
"S N Gupta & Co, Prayagraj",C017,"Shreenathjee Bakers, Varanasi",4/12/2021,5/12/2021,23567257,1002452,BF375 20-20 Butter 150+50g X 50p,100.000,UP70BT2907,RAGHAV CARRIERS,0000320987,6/12/2021,C017,FG01,
"S N Gupta & Co, Prayagraj",C017,"Shreenathjee Bakers, Varanasi",4/12/2021,5/12/2021,23567257,1002866,BF559 20-20 Butter 35+5g X 144p,357.000,UP70BT2907,RAGHAV CARRIERS,0000320987,6/12/2021,C017,,
"S N Gupta & Co, Prayagraj",C017,"Shreenathjee Bakers, Varanasi",4/12/2021,5/12/2021,23567257,1002866,BF559 20-20 Butter 35+5g X 144p,370.000,UP70BT2907,RAGHAV CARRIERS,0000320987,6/12/2021,C017,,
"S N Gupta & Co, Prayagraj",C017,"Shreenathjee Bakers, Varanasi",4/12/2021,5/12/2021,23567257,1002866,BF559 20-20 Butter 35+5g X 144p,186.000,UP70BT2907,RAGHAV CARRIERS,0000320987,6/12/2021,C017,,
,,,,,,,,"1,038.000",UP70BT2907,,,,,,
"S N Gupta & Co, Prayagraj",C015,"Tirupati Bakers, Prayagraj",4/12/2021,5/12/2021,23567631,1005037,BG452 Parle-G 21g X 360p,"1,200.000",UP70BT4472,NEW SHAKTI TRANSPORT COMPANY,0000320980,6/12/2021,C015,,Recived
,,,,,,,,"1,200.000",UP70BT4472,,,,,,
"S N Gupta & Co, Prayagraj",C015,"Tirupati Bakers, Prayagraj",4/12/2021,5/12/2021,23567105,1003384,BF819 Parle-G 50+10g X 144p,178.000,UP70FT9568,JAIN ROADWAYS,0000320962,6/12/2021,C015,,
"S N Gupta & Co, Prayagraj",C015,"Tirupati Bakers, Prayagraj",4/12/2021,5/12/2021,23567105,1003384,BF819 Parle-G 50+10g X 144p,462.000,UP70FT9568,JAIN ROADWAYS,0000320962,6/12/2021,C015,,Recived
"S N Gupta & Co, Prayagraj",C015,"Tirupati Bakers, Prayagraj",4/12/2021,5/12/2021,23567105,1003384,BF819 Parle-G 50+10g X 144p,494.000,UP70FT9568,JAIN ROADWAYS,0000320962,6/12/2021,C015,,
,,,,,,,,"1,134.000",UP70FT9568,,,,,,
"S N Gupta & Co, Prayagraj",C006,"Annakut Biscuit, Kanpur",4/12/2021,5/12/2021,23566829,1003384,BF819 Parle-G 50+10g X 144p,321.000,UP78BN5030,NEW SHAKTI TRANSPORT COMPANY,0000320991,6/12/2021,C006,FG01,
"S N Gupta & Co, Prayagraj",C006,"Annakut Biscuit, Kanpur",4/12/2021,5/12/2021,23566829,1003384,BF819 Parle-G 50+10g X 144p,479.000,UP78BN5030,NEW SHAKTI TRANSPORT COMPANY,0000320991,6/12/2021,C006,FG01,
"S N Gupta & Co, Prayagraj",C006,"Annakut Biscuit, Kanpur",4/12/2021,5/12/2021,23566829,1003635,BG19 Magix KR RD CH 58+23.6gX72p,13.000,UP78BN5030,NEW SHAKTI TRANSPORT COMPANY,0000320991,6/12/2021,C006,FG01,Recived
"S N Gupta & Co, Prayagraj",C006,"Annakut Biscuit, Kanpur",4/12/2021,5/12/2021,23566829,1003636,BG20 Magix KR RD EL 58+23.6gX72p,15.000,UP78BN5030,NEW SHAKTI TRANSPORT COMPANY,0000320991,6/12/2021,C006,FG01,
"S N Gupta & Co, Prayagraj",C006,"Annakut Biscuit, Kanpur",4/12/2021,5/12/2021,23566829,1003630,BG14 Magix KR RD CH 29+11.8gX144P,170.000,UP78BN5030,NEW SHAKTI TRANSPORT COMPANY,0000320991,6/12/2021,C006,FG01,
"S N Gupta & Co, Prayagraj",C006,"Annakut Biscuit, Kanpur",4/12/2021,5/12/2021,23566829,1003630,BG14 Magix KR RD CH 29+11.8gX144P,53.000,UP78BN5030,NEW SHAKTI TRANSPORT COMPANY,0000320991,6/12/2021,C006,FG01,
"S N Gupta & Co, Prayagraj",C006,"Annakut Biscuit, Kanpur",4/12/2021,5/12/2021,23566829,1003631,BG15 Magix KR RD EL 29+11.8gX144P,106.000,UP78BN5030,NEW SHAKTI TRANSPORT COMPANY,0000320991,6/12/2021,C006,FG01,
,,,,,,,,"1,157.000",UP78BN5030,,,,,,
"S N Gupta & Co, Prayagraj",C052,"Balaji Edibles, Jabalpur",4/12/2021,6/12/2021,23567590,1002866,BF559 20-20 Butter 35+5g X 144p,430.000,AP29TC0544,SUBHASH GOODS TRANSPORT COMPANY,0000321003,6/12/2021,C052,,Recived
"S N Gupta & Co, Prayagraj",C052,"Balaji Edibles, Jabalpur",4/12/2021,6/12/2021,23567590,1002866,BF559 20-20 Butter 35+5g X 144p,"1,450.000",AP29TC0544,SUBHASH GOODS TRANSPORT COMPANY,0000321003,6/12/2021,C052,,
,,,,,,,,"1,880.000",AP29TC0544,,,,,,
"S N Gupta & Co, Prayagraj",C052,"Balaji Edibles, Jabalpur",4/12/2021,6/12/2021,23566938,1002866,BF559 20-20 Butter 35+5g X 144p,822.000,MP20GB4493,Oriental Retailers & Logistics Pvt.,0000321008,6/12/2021,C052,,Recived
,,,,,,,,822.000,MP20GB4493,,,,,,
"S N Gupta & Co, Prayagraj",C023,"Mahavir Biscuits, Khalilabad",5/12/2021,6/12/2021,23567901,1002866,BF559 20-20 Butter 35+5g X 144p,664.000,UP70ET2829,JAIN ROADWAYS,0000320998,6/12/2021,C023,FG01,Recived
"S N Gupta & Co, Prayagraj",C023,"Mahavir Biscuits, Khalilabad",5/12/2021,6/12/2021,23567901,1002866,BF559 20-20 Butter 35+5g X 144p,480.000,UP70ET2829,JAIN ROADWAYS,0000320998,6/12/2021,C023,FG01,
,,,,,,,,"1,144.000",UP70ET2829,,,,,,
"S N Gupta & Co, Prayagraj",C017,"Shreenathjee Bakers, Varanasi",5/12/2021,6/12/2021,23565590,1002866,BF559 20-20 Butter 35+5g X 144p,"1,197.000",UP70ET6486,JAIN ROADWAYS,0000321012,6/12/2021,C017,,Recived
,,,,,,,,"1,197.000",UP70ET6486,,,,,,
"S N Gupta & Co, Prayagraj",C015,"Tirupati Bakers, Prayagraj",5/12/2021,6/12/2021,23567170,1005037,BG452 Parle-G 21g X 360p,193.000,UP73A1850,NEW SHAKTI TRANSPORT COMPANY,0000320953,6/12/2021,C015,,Recived
"S N Gupta & Co, Prayagraj",C015,"Tirupati Bakers, Prayagraj",5/12/2021,6/12/2021,23567170,1005037,BG452 Parle-G 21g X 360p,"1,007.000",UP73A1850,NEW SHAKTI TRANSPORT COMPANY,0000320953,6/12/2021,C015,,
,,,,,,,,"1,200.000",UP73A1850,,,,,,
"S N Gupta & Co, Prayagraj",C061,"Shruti Snacks, Indore",5/12/2021,8/12/2021,23568055,1003454,N1131 Waf CS 11.7+2.34g X 210p,200.000,UP76T0375,JAIN TRANSPORT SERVICE,,,C061,FG01,
"S N Gupta & Co, Prayagraj",C061,"Shruti Snacks, Indore",5/12/2021,8/12/2021,23568055,1003452,N1129 Waf CnO 11.7+2.34g X 210p,257.000,UP76T0375,JAIN TRANSPORT SERVICE,,,C061,FG01, not recived
"S N Gupta & Co, Prayagraj",C061,"Shruti Snacks, Indore",5/12/2021,8/12/2021,23568055,1004632,N1266 Chatkeen Farali Chiwda 16+4gX360p,4.000,UP76T0375,JAIN TRANSPORT SERVICE,,,C061,FG01,
,,,,,,,,461.000,UP76T0375,,,,,,
,,,,,,,,"12,433.000",,,,,,,
